equation_id,meaning,implementation_file,class_or_function,implementation_variable,artifact,test,implementation_status,notes
EQ-SOC-BESS-18,BESS SOC遷移,src/optimization/milp/solver_adapter.py,_solve_stage1_stage2,bess_soc_var;pv2bess_var;g2bess_var;bess2bus_var,evidence_supplements/*96_slot*.csv,tests/test_integrated_actual_cost_objective.py,EXACT,
EQ-SOC-BESS-19,BESS SOC上下限,src/optimization/milp/solver_adapter.py,_solve_stage1_stage2,bess_soc_var,scenario_input_snapshot.json,tests/test_integrated_actual_cost_objective.py,EXACT,
EQ-BESS-20,BESS充放電出力上限,src/optimization/milp/solver_adapter.py,_solve_stage1_stage2,bess_charge_mode_var;bess_discharge_mode_var,scenario_input_snapshot.json,tests/test_integrated_actual_cost_objective.py,EXACT,
EQ-BESS-21,BESS同時充放電禁止,src/optimization/milp/solver_adapter.py,_solve_stage1_stage2,bess_charge_mode_var;bess_discharge_mode_var,solver result,tests/test_integrated_actual_cost_objective.py,EXACT,
EQ-BESS-TERM-22,BESS初期終端SOC,src/optimization/milp/solver_adapter.py,_bess_terminal_soc_target_kwh,bess_soc_var,executed_day_accounting.json,tests/test_final_rolling_accounting.py,EXACT,3000kWh固定
EQ-OBJ-S2-23,Stage 2電力recourse目的,src/optimization/milp/solver_adapter.py,_solve_stage1_stage2,objective2;g2bus_var;g2bess_var;w_on_var;w_off_var,selected_candidate.json,tests/test_integrated_actual_cost_objective.py,EXACT,固定配車の車両費燃料費とは分離
EQ-ROLL-24,60分ごとの残余時間再最適化,scripts/run_hourly_charging_reoptimization.py,main;_build_executed_day_accounting,executed_segments,rolling_chain_summary.json,tests/test_phase3_time_budget_and_rolling.py,EXACT,各step最初の4スロットだけ実行
EQ-ACCOUNT-25,実行prefixの一日一回会計,scripts/run_hourly_charging_reoptimization.py,_build_executed_day_accounting,stitched_maps;CostEvaluator,executed_day_accounting.json,tests/test_final_rolling_accounting.py,POST_PROCESS,24目的値の和ではない
EQ-VALID-26,全便充足,bff/services/optimization_run/rolling_chain.py,_build_confirmation_gate,trip_count_served;trip_count_unserved,confirmation_gate.json,tests/test_research_contracts.py,POST_PROCESS,
EQ-VALID-27,物理Rolling会計gate,bff/services/optimization_run/rolling_chain.py,finalize_rolling_run;rolling_chain_acceptance_audit,acceptance_checks;canonical_cost_ledger,confirmation_gate.json,tests/test_final_rolling_accounting.py,POST_PROCESS,各gateは独立
